Input.id,Input.query,annotations_list,gui_indexes_list,relevance,occurances
53,"test article, options","[(1, 0, 0), (2, 0, 0), (2, 0, 0), (2, 0, 0), (2, 0, 0), (1, 0, 0), (2, 0, 0), (2, 0, 0), (2, 0, 0), (2, 0, 0), (2, 0, 0), (1, 2, 2), (2, 0, 0), (0, 0, 2), (1, 2, 2), (0, 2, 2), (2, 0, 1), (1, 2, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (2, 0, 2), (0, 0, 0), (2, 2, 2), (0, 0, 0), (1, 0, 0), (1, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[46234, 279, 1562, 16502, 37326, 48907, 16503, 37324, 1558, 2850, 5744, 45400, 2856, 9959, 1841, 39287, 9967, 1845, 67984, 42291, 45392, 59466, 61125, 45399, 36171, 41495, 36173, 10809, 48573, 21732]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 2, 3, 3, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0]","[[2, 1, 0], [2, 0, 1], [2, 0, 1], [2, 0, 1], [2, 0, 1], [2, 1, 0], [2, 0, 1], [2, 0, 1], [2, 0, 1], [2, 0, 1], [2, 0, 1], [0, 1, 2], [2, 0, 1], [2, 0, 1], [0, 1, 2], [1, 0, 2], [1, 1, 1], [1, 1, 1], [3, 0, 0], [3, 0, 0], [3, 0, 0], [1, 0, 2], [3, 0, 0], [0, 0, 3], [3, 0, 0], [2, 1, 0], [2, 1, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0]]"
57,Microsoft corp with stock,"[(0, 2, 2), (0, 0, 0), (0, 1, 0), (0, 0, 2), (0, 1, 2), (0, 1, 0), (0, 0, 1), (0, 1, 0), (0, 1, 0), (0, 0, 2), (0, 1, 1), (0, 0, 0), (0, 0, 0), (0, 2, 2), (0, 1, 2), (0, 0, 0), (1, 0, 0), (1, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (2, 0, 2), (1, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[30461, 34629, 23701, 58967, 40606, 69182, 5176, 5196, 63167, 16051, 18111, 5192, 47803, 30460, 18106, 7740, 63166, 5194, 34514, 34633, 3172, 42290, 55064, 3169, 5185, 71326, 3170, 16046, 22432, 69183]","[2, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]","[[1, 0, 2], [3, 0, 0], [2, 1, 0], [2, 0, 1], [1, 1, 1], [2, 1, 0], [2, 1, 0], [2, 1, 0], [2, 1, 0], [2, 0, 1], [1, 2, 0], [3, 0, 0], [3, 0, 0], [1, 0, 2], [1, 1, 1], [3, 0, 0], [2, 1, 0], [2, 1, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [1, 0, 2], [2, 1, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0]]"
59,selecting different devices,"[(2, 0, 2), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 2), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (2, 0, 2), (0, 0, 0), (0, 2, 2), (2, 0, 2), (0, 0, 0), (1, 0, 0), (1, 0, 0), (0, 0, 0), (1, 0, 0), (2, 0, 2), (0, 0, 0), (1, 0, 0), (0, 0, 0), (0, 0, 0), (1, 0, 0), (1, 0, 0), (0, 0, 0), (0, 0, 2), (2, 0, 0)]","[39281, 43361, 58541, 1042, 4366, 4934, 60557, 44889, 65656, 15546, 14110, 57288, 65638, 42929, 8749, 20699, 71875, 10743, 50603, 40225, 48219, 28569, 26236, 45139, 43525, 31435, 4162, 11868, 66150, 4170]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[1, 0, 2], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [2, 0, 1], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [1, 0, 2], [3, 0, 0], [1, 0, 2], [1, 0, 2], [3, 0, 0], [2, 1, 0], [2, 1, 0], [3, 0, 0], [2, 1, 0], [1, 0, 2], [3, 0, 0], [2, 1, 0], [3, 0, 0], [3, 0, 0], [2, 1, 0], [2, 1, 0], [3, 0, 0], [2, 0, 1], [2, 0, 1]]"
60,sharing files service,"[(0, 2, 2), (2, 0, 2), (2, 0, 2), (0, 0, 2), (1, 0, 0), (0, 0, 0), (0, 2, 0), (1, 0, 1), (0, 0, 0), (0, 2, 2), (0, 0, 0), (0, 2, 1), (0, 1, 0), (0, 0, 2), (0, 0, 0), (2, 0, 0), (0, 0, 0), (0, 0, 0), (1, 0, 0), (0, 0, 0), (1, 0, 0), (1, 0, 0), (0, 0, 0), (0, 0, 0), (2, 0, 0), (1, 0, 0), (1, 0, 0), (2, 2, 0), (0, 0, 0), (0, 0, 0)]","[53377, 55986, 57917, 8526, 62888, 47520, 36879, 50410, 47515, 47059, 32616, 27860, 603, 16581, 38026, 54398, 54595, 60454, 27857, 3439, 40237, 15066, 8992, 48522, 27877, 40240, 40239, 66875, 43312, 47054]","[2, 2, 2, 0, 0, 0, 0, 1, 0, 2, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[[1, 0, 2], [1, 0, 2], [1, 0, 2], [2, 0, 1], [2, 1, 0], [3, 0, 0], [2, 0, 1], [1, 2, 0], [3, 0, 0], [1, 0, 2], [3, 0, 0], [1, 1, 1], [2, 1, 0], [2, 0, 1], [3, 0, 0], [2, 0, 1], [3, 0, 0], [3, 0, 0], [2, 1, 0], [3, 0, 0], [2, 1, 0], [2, 1, 0], [3, 0, 0], [3, 0, 0], [2, 0, 1], [2, 1, 0], [2, 1, 0], [1, 0, 2], [3, 0, 0], [3, 0, 0]]"
61,a news and an advertisement,"[(2, 2, 2), (2, 0, 2), (2, 1, 2), (0, 0, 0), (0, 0, 1), (1, 1, 1), (2, 2, 2), (0, 0, 1), (0, 1, 2), (1, 0, 1), (2, 2, 2), (1, 0, 1), (2, 2, 2), (0, 0, 0), (2, 0, 1), (2, 2, 2), (2, 2, 1), (0, 1, 1), (0, 1, 0), (0, 2, 2), (0, 2, 1), (0, 2, 1), (0, 1, 0), (0, 2, 1), (0, 1, 1), (0, 0, 0), (0, 1, 0), (0, 1, 1), (0, 1, 2), (0, 1, 1)]","[56632, 7745, 54133, 65048, 60725, 71379, 26746, 10078, 68818, 13837, 7743, 16515, 68871, 10090, 68811, 10809, 7755, 1565, 64701, 30096, 43051, 37006, 51334, 68814, 68882, 7758, 68816, 68886, 51338, 1570]","[2, 2, 2, 0, 0, 1, 2, 0, 3, 1, 2, 1, 2, 0, 3, 2, 2, 1, 0, 2, 3, 3, 0, 3, 1, 0, 0, 1, 3, 1]","[[0, 0, 3], [1, 0, 2], [0, 1, 2], [3, 0, 0], [2, 1, 0], [0, 3, 0], [0, 0, 3], [2, 1, 0], [1, 1, 1], [1, 2, 0], [0, 0, 3], [1, 2, 0], [0, 0, 3], [3, 0, 0], [1, 1, 1], [0, 0, 3], [0, 1, 2], [1, 2, 0], [2, 1, 0], [1, 0, 2], [1, 1, 1], [1, 1, 1], [2, 1, 0], [1, 1, 1], [1, 2, 0], [3, 0, 0], [2, 1, 0], [1, 2, 0], [1, 1, 1], [1, 2, 0]]"
62,Personalised Timer,"[(2, 2, 2), (0, 0, 0), (2, 2, 2), (2, 2, 2), (0, 0, 0), (2, 2, 2), (2, 2, 2), (0, 0, 0), (2, 2, 2), (2, 1, 1), (1, 1, 0), (2, 0, 0), (2, 2, 2), (2, 2, 2), (2, 1, 0), (2, 2, 2), (2, 2, 1), (2, 2, 2), (2, 0, 1), (0, 0, 0), (0, 0, 0), (0, 2, 1), (0, 0, 0), (0, 0, 0), (0, 0, 0), (2, 0, 2), (0, 0, 0), (2, 2, 2), (2, 2, 2), (2, 2, 2)]","[35384, 36335, 11490, 11489, 25260, 18992, 56799, 65997, 18991, 17912, 70080, 12654, 47249, 58751, 37256, 63066, 58742, 63069, 49326, 60044, 8539, 61610, 56280, 37257, 38612, 36636, 37262, 54493, 36637, 17487]","[2, 0, 2, 2, 0, 2, 2, 0, 2, 1, 1, 0, 2, 2, 3, 2, 2, 2, 3, 0, 0, 3, 0, 0, 0, 2, 0, 2, 2, 2]","[[0, 0, 3], [3, 0, 0], [0, 0, 3], [0, 0, 3], [3, 0, 0], [0, 0, 3], [0, 0, 3], [3, 0, 0], [0, 0, 3], [0, 2, 1], [1, 2, 0], [2, 0, 1], [0, 0, 3], [0, 0, 3], [1, 1, 1], [0, 0, 3], [0, 1, 2], [0, 0, 3], [1, 1, 1], [3, 0, 0], [3, 0, 0], [1, 1, 1], [3, 0, 0], [3, 0, 0], [3, 0, 0], [1, 0, 2], [3, 0, 0], [0, 0, 3], [0, 0, 3], [0, 0, 3]]"
63,food tutorial apps with background music,"[(0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 2, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 2, 0), (0, 0, 0), (0, 2, 0), (0, 1, 0), (0, 1, 0), (0, 0, 1), (1, 1, 0), (0, 0, 0), (0, 0, 0), (1, 1, 0), (0, 1, 0), (0, 0, 0), (1, 1, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 1, 0), (1, 1, 0), (0, 0, 0)]","[61223, 26861, 5948, 19778, 35213, 5941, 2954, 47191, 5937, 2951, 49485, 57909, 13073, 52770, 58017, 13649, 32130, 58005, 30408, 45092, 17235, 71255, 27045, 57146, 13072, 38358, 48312, 26981, 21630, 30403]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]","[[3, 0, 0], [3, 0, 0], [3, 0, 0], [2, 0, 1], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [2, 0, 1], [3, 0, 0], [2, 0, 1], [2, 1, 0], [2, 1, 0], [2, 1, 0], [1, 2, 0], [3, 0, 0], [3, 0, 0], [1, 2, 0], [2, 1, 0], [3, 0, 0], [1, 2, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [2, 1, 0], [1, 2, 0], [3, 0, 0]]"
63,search bar that include the dish and resturent name,"[(2, 1, 1), (2, 0, 0), (2, 0, 1), (1, 0, 0), (1, 0, 0), (1, 0, 2), (1, 0, 0), (1, 1, 2), (1, 1, 2), (1, 2, 0), (0, 0, 0), (2, 0, 1), (2, 2, 0), (2, 0, 0), (0, 0, 0), (0, 0, 0), (1, 0, 1), (0, 0, 0), (0, 0, 1), (1, 0, 0), (1, 0, 1), (0, 0, 0), (1, 0, 1), (1, 0, 0), (1, 0, 1), (1, 0, 0), (1, 0, 0), (0, 0, 1), (2, 0, 2), (0, 0, 0)]","[4793, 68399, 68400, 68401, 56513, 40981, 60970, 56507, 56510, 1686, 25071, 7099, 70043, 5267, 9978, 925, 5256, 9970, 59016, 56512, 41325, 60965, 56514, 10371, 921, 5258, 2510, 912, 56498, 45597]","[1, 0, 3, 0, 0, 3, 0, 1, 1, 3, 0, 3, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 2, 0]","[[0, 2, 1], [2, 0, 1], [1, 1, 1], [2, 1, 0], [2, 1, 0], [1, 1, 1], [2, 1, 0], [0, 2, 1], [0, 2, 1], [1, 1, 1], [3, 0, 0], [1, 1, 1], [1, 0, 2], [2, 0, 1], [3, 0, 0], [3, 0, 0], [1, 2, 0], [3, 0, 0], [2, 1, 0], [2, 1, 0], [1, 2, 0], [3, 0, 0], [1, 2, 0], [2, 1, 0], [1, 2, 0], [2, 1, 0], [2, 1, 0], [2, 1, 0], [1, 0, 2], [3, 0, 0]]"
64,News with detail,"[(2, 2, 2), (2, 2, 2), (2, 2, 2), (2, 2, 2), (2, 2, 2), (2, 2, 2), (1, 1, 1), (1, 1, 1), (1, 1, 2), (1, 1, 2), (1, 1, 1), (1, 1, 2), (1, 1, 1), (1, 1, 1), (2, 2, 2), (0, 1, 0), (2, 1, 2), (0, 2, 0), (2, 0, 2), (2, 1, 2), (0, 2, 0), (2, 2, 2), (2, 2, 2), (0, 0, 2), (0, 2, 0), (0, 1, 2), (0, 0, 0), (1, 2, 0), (1, 2, 0), (2, 0, 0)]","[39546, 25199, 25209, 25205, 25201, 25206, 17803, 5600, 34978, 34980, 5595, 34982, 17797, 30356, 34983, 22038, 17805, 19136, 22058, 59966, 23402, 22061, 59947, 45120, 16495, 51119, 69247, 20712, 26451, 54133]","[2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 0, 2, 0, 2, 2, 0, 2, 2, 0, 0, 3, 0, 3, 3, 0]","[[0, 0, 3], [0, 0, 3], [0, 0, 3], [0, 0, 3], [0, 0, 3], [0, 0, 3], [0, 3, 0], [0, 3, 0], [0, 2, 1], [0, 2, 1], [0, 3, 0], [0, 2, 1], [0, 3, 0], [0, 3, 0], [0, 0, 3], [2, 1, 0], [0, 1, 2], [2, 0, 1], [1, 0, 2], [0, 1, 2], [2, 0, 1], [0, 0, 3], [0, 0, 3], [2, 0, 1], [2, 0, 1], [1, 1, 1], [3, 0, 0], [1, 1, 1], [1, 1, 1], [2, 0, 1]]"
65,App for jokes and funny image posting,"[(0, 2, 2), (1, 1, 1), (0, 0, 0), (0, 2, 0), (0, 0, 0), (2, 0, 0), (0, 1, 1), (0, 0, 0), (2, 0, 0), (0, 1, 0), (0, 0, 0), (0, 2, 0), (0, 1, 1), (1, 0, 1), (0, 0, 0), (0, 1, 0), (0, 0, 0), (0, 1, 1), (0, 1, 0), (1, 1, 1), (0, 0, 0), (0, 1, 0), (0, 0, 0), (0, 1, 2), (0, 0, 1), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 2, 0), (0, 2, 0)]","[53353, 19736, 49054, 53352, 22469, 28424, 29408, 22465, 28425, 6579, 22468, 50890, 29410, 19735, 56286, 17201, 22467, 13754, 60230, 33897, 54575, 4292, 22466, 57367, 12694, 55885, 57373, 41434, 57835, 29407]","[2, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0]","[[1, 0, 2], [0, 3, 0], [3, 0, 0], [2, 0, 1], [3, 0, 0], [2, 0, 1], [1, 2, 0], [3, 0, 0], [2, 0, 1], [2, 1, 0], [3, 0, 0], [2, 0, 1], [1, 2, 0], [1, 2, 0], [3, 0, 0], [2, 1, 0], [3, 0, 0], [1, 2, 0], [2, 1, 0], [0, 3, 0], [3, 0, 0], [2, 1, 0], [3, 0, 0], [1, 1, 1], [2, 1, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [2, 0, 1], [2, 0, 1]]"
65,blood glucose tracker side bar,"[(2, 2, 2), (2, 2, 1), (1, 0, 1), (0, 0, 0), (2, 2, 1), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 2, 0), (2, 2, 2), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (1, 1, 0), (0, 2, 0), (0, 0, 0), (0, 0, 0), (0, 1, 0), (0, 0, 0), (0, 1, 0), (1, 1, 2), (0, 0, 0), (1, 0, 0), (0, 0, 0), (0, 0, 0), (1, 1, 0), (1, 1, 1), (0, 0, 0)]","[47499, 47500, 47501, 71582, 47505, 5803, 71580, 47502, 8684, 70705, 47504, 58148, 4688, 47503, 58146, 4689, 47498, 39596, 64939, 57507, 39600, 51782, 8520, 39603, 4503, 34125, 69142, 37821, 5816, 68962]","[2, 2, 1, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0]","[[0, 0, 3], [0, 1, 2], [1, 2, 0], [3, 0, 0], [0, 1, 2], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [2, 0, 1], [0, 0, 3], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [1, 2, 0], [2, 0, 1], [3, 0, 0], [3, 0, 0], [2, 1, 0], [3, 0, 0], [2, 1, 0], [0, 2, 1], [3, 0, 0], [2, 1, 0], [3, 0, 0], [3, 0, 0], [1, 2, 0], [0, 3, 0], [3, 0, 0]]"
66,creating profile with  email using username email id and password,"[(2, 2, 2), (1, 2, 2), (0, 1, 0), (1, 0, 2), (2, 2, 2), (1, 2, 2), (1, 0, 2), (2, 2, 2), (0, 1, 0), (1, 0, 2), (1, 2, 2), (1, 2, 2), (1, 0, 0), (2, 2, 0), (1, 2, 2), (2, 1, 2), (2, 1, 2), (2, 1, 0), (2, 1, 2), (2, 1, 2), (2, 1, 0), (2, 1, 2), (2, 2, 2), (2, 2, 2), (2, 1, 2), (2, 1, 2), (2, 1, 2), (2, 1, 2), (2, 1, 2), (0, 0, 2)]","[40816, 40817, 25007, 51629, 12733, 36431, 43386, 35682, 37452, 47181, 2835, 36418, 49245, 29074, 3141, 71558, 10221, 60077, 49238, 39194, 62256, 14438, 69010, 65775, 43615, 59738, 20728, 39480, 101, 69560]","[2, 2, 0, 3, 2, 2, 3, 2, 0, 3, 2, 2, 0, 2, 2, 2, 2, 3, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 0]","[[0, 0, 3], [0, 1, 2], [2, 1, 0], [1, 1, 1], [0, 0, 3], [0, 1, 2], [1, 1, 1], [0, 0, 3], [2, 1, 0], [1, 1, 1], [0, 1, 2], [0, 1, 2], [2, 1, 0], [1, 0, 2], [0, 1, 2], [0, 1, 2], [0, 1, 2], [1, 1, 1], [0, 1, 2], [0, 1, 2], [1, 1, 1], [0, 1, 2], [0, 0, 3], [0, 0, 3], [0, 1, 2], [0, 1, 2], [0, 1, 2], [0, 1, 2], [0, 1, 2], [2, 0, 1]]"
67,Travel with ease with tracking,"[(0, 0, 1), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (2, 0, 1), (1, 0, 0), (0, 0, 0), (0, 2, 1), (1, 0, 0), (0, 0, 1), (2, 0, 0), (0, 0, 1), (0, 0, 1), (0, 0, 2), (0, 0, 2), (0, 0, 0), (0, 0, 0), (0, 0, 1), (2, 0, 0), (0, 0, 1), (1, 0, 2), (1, 0, 2), (0, 0, 1), (0, 0, 2), (0, 0, 0), (0, 0, 0), (1, 0, 0), (0, 0, 0)]","[7899, 17322, 49188, 60784, 31634, 49189, 9520, 13706, 13718, 46620, 13697, 13698, 44785, 13720, 13713, 13696, 3195, 13700, 24523, 68599, 64884, 66999, 10501, 21922, 27322, 10500, 47837, 49682, 3116, 44782]","[0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0]","[[2, 1, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [1, 1, 1], [2, 1, 0], [3, 0, 0], [1, 1, 1], [2, 1, 0], [2, 1, 0], [2, 0, 1], [2, 1, 0], [2, 1, 0], [2, 0, 1], [2, 0, 1], [3, 0, 0], [3, 0, 0], [2, 1, 0], [2, 0, 1], [2, 1, 0], [1, 1, 1], [1, 1, 1], [2, 1, 0], [2, 0, 1], [3, 0, 0], [3, 0, 0], [2, 1, 0], [3, 0, 0]]"
70,history of experienced staff,"[(2, 2, 0), (1, 0, 0), (0, 1, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (1, 0, 0), (0, 0, 0), (1, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 1, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (1, 0, 0), (0, 0, 0), (0, 0, 0), (1, 0, 0)]","[14251, 71745, 7687, 22141, 42365, 9599, 17007, 16364, 128, 67037, 47229, 28508, 67048, 23619, 58976, 63729, 58996, 35187, 56168, 37761, 35200, 67032, 22643, 38572, 67038, 13804, 15332, 67046, 13805, 6895]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[1, 0, 2], [2, 1, 0], [2, 1, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [2, 1, 0], [3, 0, 0], [2, 1, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [2, 1, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [2, 1, 0], [3, 0, 0], [3, 0, 0], [2, 1, 0]]"
71,Mp3 + player +  software,"[(2, 2, 2), (0, 1, 0), (0, 2, 0), (2, 1, 2), (0, 2, 0), (0, 2, 0), (2, 1, 2), (0, 1, 0), (2, 2, 0), (2, 2, 2), (0, 0, 0), (0, 2, 0), (2, 2, 2), (0, 1, 0), (0, 0, 0), (0, 0, 0), (0, 1, 0), (0, 0, 0), (0, 2, 2), (0, 0, 0), (0, 2, 1), (0, 0, 1), (0, 0, 0), (0, 0, 0), (0, 2, 2), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[39444, 34045, 46842, 56745, 34048, 38564, 56743, 34042, 3970, 3963, 36622, 44197, 42202, 33694, 25581, 42193, 33695, 60359, 6571, 9390, 56764, 18877, 34043, 17896, 55482, 19019, 16477, 35005, 5965, 69236]","[2, 0, 0, 2, 0, 0, 2, 0, 2, 2, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 3, 0, 0, 0, 2, 0, 0, 0, 0, 0]","[[0, 0, 3], [2, 1, 0], [2, 0, 1], [0, 1, 2], [2, 0, 1], [2, 0, 1], [0, 1, 2], [2, 1, 0], [1, 0, 2], [0, 0, 3], [3, 0, 0], [2, 0, 1], [0, 0, 3], [2, 1, 0], [3, 0, 0], [3, 0, 0], [2, 1, 0], [3, 0, 0], [1, 0, 2], [3, 0, 0], [1, 1, 1], [2, 1, 0], [3, 0, 0], [3, 0, 0], [1, 0, 2], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0]]"
72,app for football team players overview with videos,"[(0, 2, 2), (0, 0, 0), (0, 0, 1), (0, 0, 1), (0, 0, 1), (0, 0, 1), (0, 0, 1), (0, 0, 0), (2, 1, 1), (0, 0, 1), (0, 0, 0), (0, 0, 0), (0, 0, 1), (0, 0, 1), (0, 0, 0), (0, 2, 1), (0, 0, 0), (0, 0, 0), (0, 1, 0), (2, 1, 0), (0, 2, 0), (0, 0, 0), (2, 1, 0), (0, 1, 1), (0, 0, 0), (0, 0, 0), (0, 2, 1), (0, 0, 0), (0, 2, 1), (0, 2, 0)]","[5478, 46169, 40209, 7230, 39069, 56086, 40212, 6798, 43131, 7234, 46193, 8522, 40792, 55442, 55542, 56081, 55443, 10428, 8192, 17875, 31510, 43109, 17868, 39075, 23636, 46190, 7593, 19104, 31521, 5419]","[2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 3, 1, 0, 0, 3, 0, 3, 0]","[[1, 0, 2], [3, 0, 0], [2, 1, 0], [2, 1, 0], [2, 1, 0], [2, 1, 0], [2, 1, 0], [3, 0, 0], [0, 2, 1], [2, 1, 0], [3, 0, 0], [3, 0, 0], [2, 1, 0], [2, 1, 0], [3, 0, 0], [1, 1, 1], [3, 0, 0], [3, 0, 0], [2, 1, 0], [1, 1, 1], [2, 0, 1], [3, 0, 0], [1, 1, 1], [1, 2, 0], [3, 0, 0], [3, 0, 0], [1, 1, 1], [3, 0, 0], [1, 1, 1], [2, 0, 1]]"
73,Chinese dating app describing its features,"[(2, 2, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (1, 1, 2), (2, 0, 0), (2, 0, 0), (0, 0, 0), (1, 0, 0), (0, 1, 2), (0, 1, 0), (2, 0, 0), (0, 0, 0), (1, 1, 0), (0, 0, 0), (1, 1, 1), (1, 0, 0), (0, 0, 0), (0, 1, 1), (0, 0, 1), (0, 0, 0), (0, 0, 0), (0, 1, 1), (0, 0, 0), (1, 0, 1), (0, 0, 1), (0, 0, 0), (0, 0, 0), (0, 0, 1)]","[56919, 69873, 60172, 26879, 31025, 24568, 3911, 29625, 30057, 55745, 32212, 11745, 31124, 23447, 62458, 32441, 44280, 43181, 23448, 11649, 27558, 66461, 57244, 64058, 40768, 26875, 4669, 7126, 35981, 44899]","[2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]","[[1, 0, 2], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [0, 2, 1], [2, 0, 1], [2, 0, 1], [3, 0, 0], [2, 1, 0], [1, 1, 1], [2, 1, 0], [2, 0, 1], [3, 0, 0], [1, 2, 0], [3, 0, 0], [0, 3, 0], [2, 1, 0], [3, 0, 0], [1, 2, 0], [2, 1, 0], [3, 0, 0], [3, 0, 0], [1, 2, 0], [3, 0, 0], [1, 2, 0], [2, 1, 0], [3, 0, 0], [3, 0, 0], [2, 1, 0]]"
76,Tutorial for newly installed browser,"[(2, 2, 0), (0, 2, 2), (0, 0, 0), (2, 2, 0), (1, 1, 2), (2, 0, 0), (0, 0, 2), (2, 2, 0), (0, 0, 0), (2, 2, 0), (0, 0, 0), (1, 0, 2), (0, 2, 2), (2, 1, 2), (0, 0, 1), (2, 2, 1), (1, 0, 0), (1, 2, 0), (0, 2, 0), (0, 0, 0), (1, 2, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 1), (0, 0, 1), (0, 2, 0), (2, 0, 2), (0, 0, 0), (0, 0, 1)]","[65334, 55467, 5940, 10926, 53027, 5948, 57324, 50726, 5941, 50725, 8277, 5937, 57148, 50728, 57909, 38362, 49219, 58017, 57146, 59728, 58005, 30408, 35602, 17235, 30403, 32291, 48312, 57149, 61688, 5935]","[2, 2, 0, 2, 1, 0, 0, 2, 0, 2, 0, 3, 2, 2, 0, 2, 0, 3, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[[1, 0, 2], [1, 0, 2], [3, 0, 0], [1, 0, 2], [0, 2, 1], [2, 0, 1], [2, 0, 1], [1, 0, 2], [3, 0, 0], [1, 0, 2], [3, 0, 0], [1, 1, 1], [1, 0, 2], [0, 1, 2], [2, 1, 0], [0, 1, 2], [2, 1, 0], [1, 1, 1], [2, 0, 1], [3, 0, 0], [1, 1, 1], [3, 0, 0], [3, 0, 0], [3, 0, 0], [2, 1, 0], [2, 1, 0], [2, 0, 1], [1, 0, 2], [3, 0, 0], [2, 1, 0]]"
